ID,Number_Plate
197,"[""15[!:;937"
197,IVI5IIE5ga7
197,IVI5IIES937
197,[1!51|:593]
197,[!5II:59
197,151|[!593
197,`14511:59g
197,01511[5917
197,"""""151!:593]|"
197,"""""I5[!:593]"
197,[0151!!5937
197,[0151|[5997|
197,"""|51/|:5997|"
197,DWI5IIE5937|
197,!5[!:5937
197,"""""451|[5937|"
197,[(15[![5937|
197,"""""!51![593]]"
197,"""""!51![595]|"
197,"""""!51!:5937"
197,VI5[I:593]|
197,45/![5937|
197,!5LI[593]
197,"""!51!:5937"
197,[45[![5937|
197,5II[5937
197,I5IIE593]
197,[1451|[5937|
197,[1I51![5937|
197,I51I[5937|
197,[45[![5937|
197,451|[5937|
197,_451[[5937|
197,[1I51![5937|
197,|(151![5937
197,[451![5937|
197,[045[![5937|
197,|(151![5937|
197,I5LI[5937
197,[KA5I![5937
197,[[451![5937
197,_151![5937
197,K!5L!E5937
199,
197,[451![5937
199,
197,[(451![5937
199,
197,[1451/[5937
199,
197,(151![5937
199,
197,[[451![5937
199,
197,`(451/[5937
199,
197,K!51!E5937|
199,
197,|(151![5937
199,
197,K451[5937
199,
197,K4514[5937
199,
197,K!51![5937
199,
197,K4514[5937
199,
197,|1511[5937
199,
197,|(4514[5937
197,[451![5937
197,KA51!E5937
197,|451![5937
197,K451![5937
197,_451![5937
197,K4514[5937
197,K4514E5937
197,K/51![5937
205,
197,K4514E5937
205,
197,[4514[5937
205,
206,
197,K4514E5937
205,
206,
197,K451!E5937
205,
197,K4514E5937
197,_K4514E5937
206,
197,_K4514E5937|
206,
197,K451/[5937|
206,
197,K4514E5937
206,
197,K4514E5937
206,
197,K4514E5937|
206,
197,K451!E5937
206,
197,K451!E5937|
206,
197,K451!E5937|
205,
206,
197,K4514[5937|
205,
206,6[SDy2
197,K4514[5937
206,
197,KA51!E5937
206,
197,K4514E5937|
197,K4514E5937
206,
197,K4514E5937
206,
197,K4514[5937
206,
197,K451E5937
206,
197,|K451![5937
197,K4514E5937
197,K451!E5937
197,KA51AE593
197,KA51AE5937
197,K4514E5937
197,K4514E5937
197,K4514E593
197,K4514E593
208,SIDg 9Lu
197,K451!E593
208,
197,KA514E593
197,K4514E5937
197,K4514E5937
208,
197,K4514E5937
208,
197,KA51AE5937
208,
197,K4514E5937|
208,"igsj"""
197,K451!E5937|
208,
197,KA51![5937
208,
197,K4514E5937
208,IAHLI Jju
211,
197,K451![5937|
208,
211,
197,K4514E5937|
208,
197,K451![5937
208,
197,KA514E5937|
208,IgDI dl
197,KA514E5937|
208,
211,
197,KA514E5937
208,M3IV9 JD9
211,
197,K4514[5937
208,tali s
197,KA51!E5937
208,
211,
197,K451!E5937
208,
211,
197,KI514E5937
208,LBII 9i!)
211,
197,KA51!E5937
208,nsIDg9L
211,
197,K451!E5937
208,Dlljsi
197,K4514E5937|
208,
211,
197,K4514E5937|
208,
211,
197,KA514E5937|
208,igdil
211,
197,K4514E5937|
208,
211,
197,K451!E5937|
208,
211,
197,K4514E5937|
208,
211,
197,K451!E5937|
208,
211,
197,KA514E5937|
211,
197,K4514E5937|
211,
197,KA514E5937
208,
211,
197,KA514E5937
208,
211,
197,KA51!E5937|
208,IBIL s
211,
197,KA514E5937|
208,
211,
197,KA51!E5937|
208,riuva au
211,
197,KA51!E5937
211,
197,K4514E5937|
211,
197,KI51!E5937|
211,
197,KA51!E5937|
211,
197,KA51!E5937
208,[LJL! Hu
211,
197,K451!E5937|
208,vjslV0 giO9
211,
197,KA51AE5937|
208,rSLI Q
197,K/51!E5937|
197,KA51AE5937
211,
197,KA514E5937
211,
214,IJILi SiD
197,KA51!E5937|
214,IrisV gibs
197,K/514E5937|
214,nnjug gina
197,K/51!E5937
214,jJIVg giog
197,KA51!E5937|
214,LSLi giQa
197,[_K4514E5937|
214,ILSIVD giOg
197,K451!E5937|
214,Li!3lV 9Og
197,K451!E5937|
214,fuslug gigg
197,K4514E5937|
214,Ir!5tVi giog
197,KA514E5937|
214,LiHlVi gilg
197,K4514E5937|
214,fisllg igg
197,KA514E5937
214,045lI! g7)9
197,KA51AE5937
214,651V] 970!
197,K/51!E5937|
214,fi;tVi gii
197,K/51AE5937
208,hiSIHg giO
214,IiSIu0 giU
197,KA514E5937
208,li5IVi 9iOg
197,KA514E5937
208,ristVi giC?
197,KA514E5937
208,hlV0 gi0?
214,fislV0 gid9
197,KA51AE5937
214,nislVI giug
197,KA514E5937|
214,nislVo gio9
197,KA51AE5937
214,r5IV) gig9
197,KA51!E5937
214,M5IVI gzig
197,KA514E5937
208,ISIVD 9iog
214,0n5100 9i09
197,KA51AE5937
208,[51!!0 9709
214,h51!0 97g9
197,KA51!E5937|
214,ILSIVD97ng
197,KA51!E5937
214,l5IVn 9TO9
197,KA51AE5937
214,[151|0 9709
197,KA51AE5937
214,"0n51""0 9T09"
197,"""KA514E5937"
214,KLSIV0 9IO9
197,KA514E5937
214,[51#0 9709
197,KA51!E5937
214,KI5IVI 97O9
197,KA51!E5937
214,KISIVD 97O9
216,
197,KA51/E5937
214,|151#!0 9709
216,
197,KA51!E5937
214,Ki5IV0 97O9
216,
197,KA51AE5937
208,[n5100 9709
214,Ki5IVD 9TO9
216,
197,KA51AE5937
208,15110 9709
216,033
197,KA51AE5937
208,ISIV0 9TO9
216,
197,KA51AE5937
208,KLSIV0 97O9
216,#03
197,KA514E5937
208,115100 9709
216,ID3
197,|A514E5937
208,h 51#0 9709
216,ae
197,KA514E5937
208,[151|0 9709
216,511[3
197,KA514E5937
208,[151V0 9709
216,51[03=
197,KA514E5937
208,K. 5110 9709
216,_5u03
197,KA51AE5937
208,[.5100 97
216,51[03
197,KA514E5937
208,LKI5IV0 9
216,05103
197,KA514E5937
208,KI5IV0
216,051;033
197,KA51AE5937
208,KI5IVD
216,0511033
197,KA51AE5937
208,KI5IV
216,_5037
197,KA51AE5937
208,IKISI
216,05_[033
197,KA51AE5937
208,KL5
216,[51-[33
197,KA51AE5937
208,
216,1-54[;033
197,KA51/E5937
208,
216,1|5110335
197,KA51!E5937
216,0510333
197,KA51!E5937
216,055[|233
197,K/514E5937
216,05[0333
197,KA51AE5937
216,[51[0333
197,KA51AE5937
216,1051[;0313
197,KA514E5937
216,0[5100733
197,K/51AE5937
216,05103|33
197,KA51AE5937
216,0151063335
197,KA51/E5937|
216,105103335
197,KA51AE5937
216,[5;[03335
197,KA51/E5937
216,1[5i[03335
197,KA514E5937
216,5410333
197,KA51AE5937
216,05110333
197,KA51AE5937
216,05]#03335
197,KA51AE5937
216,
197,KA51AE5937|
216,05[10333
